Ders Adı,Sınıf,Kazanım Kodu,Ünite/Konu/Kazanım/Alt Kazanım
Türkçe,1,1.1,DİNLEME/İZLEME
Türkçe,1,1.1.1,Dinleme/İzleme
Türkçe,1,1.1.1.1,Doğal ve yapay ses kaynaklarından çıkan sesleri ayırt eder.
Türkçe,1,1.1.1.2,Duyduğu sesleri taklit eder.
Türkçe,1,1.1.1.3,Seslere karşılık gelen harfleri ayırt eder.
Türkçe,1,1.1.1.4,Görselden/görsellerden hareketle dinleyeceği/izleyeceği metin hakkında tahminde bulunur.
Türkçe,1,1.1.1.5,Dinlediklerinde/izlediklerinde geçen olayların gelişimi hakkında tahminde bulunur.
Türkçe,1,1.1.1.6,Dinlediği/izlediği metni anlatır.
Türkçe,1,1.1.1.7,Dinlediklerinin/izlediklerinin konusunu belirler.
Türkçe,1,1.1.1.8,Dinlediklerine/izlediklerine yönelik sorulara cevap verir.
Türkçe,1,1.1.1.9,Sözlü yönergeleri uygular.
Türkçe,1,1.1.1.10,Dinleme stratejilerini uygular.
Türkçe,1,1.1.1.11,Konuşmacının sözlü olmayan mesajlarını kavrar.
Türkçe,1,1.2,KONUŞMA
Türkçe,1,1.2.1,Konuşma
Türkçe,1,1.2.1.1,Kelimeleri anlamlarına uygun kullanır.
Türkçe,1,1.2.1.2,Hazırlıksız konuşmalar yapar.
Türkçe,1,1.2.1.3,Çerçevesi belirli bir konu hakkında konuşur. 
Türkçe,1,1.2.1.4,Konuşma stratejilerini uygular.
Türkçe,1,1.3,OKUMA
Türkçe,1,1.3.1,Okumaya Hazırlık
Türkçe,1,1.3.1.1,Okuma materyalindeki temel bölümleri tanır.
Türkçe,1,1.3.1.2,Harfi tanır ve seslendirir.
Türkçe,1,1.3.1.3,Hece ve kelimeleri okur.
Türkçe,1,1.3.1.4,Basit ve kısa cümleleri okur.
Türkçe,1,1.3.1.5,Kısa metinleri okur.
Türkçe,1,1.3.2,Akıcı Okuma
Türkçe,1,1.3.2.1,Noktalama işaretlerine dikkat ederek okur.
Türkçe,1,1.3.2.2,"Vurgu, tonlama ve telaffuza dikkat ederek okur."
Türkçe,1,1.3.2.3,Şiir okur.
Türkçe,1,1.3.2.4,Görsellerden hareketle kelimeleri ve anlamlarını tahmin eder.
Türkçe,1,1.3.2.5,Farklı yazı karakterleri ile yazılmış yazıları okur.
Türkçe,1,1.3.2.6,Kelimelerin zıt anlamlılarını tahmin eder.
Türkçe,1,1.3.2.7,Okuma stratejilerini uygular.
Türkçe,1,1.3.3,Anlama
Türkçe,1,1.3.3.1,Görsellerle ilgili soruları cevaplar.
Türkçe,1,1.3.3.2,Görsellerden hareketle okuyacağı metnin konusunu tahmin eder.
Türkçe,1,1.3.3.3,Metinle ilgili soruları cevaplar.
Türkçe,1,1.3.3.4,Okuduklarını ana hatlarıyla anlatır.
Türkçe,1,1.3.3.5,Metnin konusunu belirler.
Türkçe,1,1.3.3.6,Metnin içeriğine uygun başlık/başlıklar belirler.
Türkçe,1,1.3.3.7,"Şekil, sembol ve işaretlerin anlamlarını kavrar."
Türkçe,1,1.4,YAZMA
Türkçe,1,1.4.1,Yazma
Türkçe,1,1.4.1.1,Boyama ve çizgi çalışmaları yapar.
Türkçe,1,1.4.1.2,Harfleri tekniğine uygun yazar.
Türkçe,1,1.4.1.3,Hece ve kelimeler yazar.
Türkçe,1,1.4.1.4,Rakamları tekniğine uygun yazar.
Türkçe,1,1.4.1.5,Anlamlı ve kurallı cümleler yazar.
Türkçe,1,1.4.1.6,Görsellerle ilgili kelime ve cümleler yazar.
Türkçe,1,1.4.1.7,"Harfler, kelimeler ve cümleler arasında uygun boşluklar bırakır."
Türkçe,1,1.4.1.8,Büyük harfleri ve noktalama işaretlerini uygun yerlerde kullanır.
Türkçe,1,1.4.1.9,Yazılarını görsel unsurlarla destekler.
Türkçe,1,1.4.1.10,Yazdıklarını gözden geçirir.
Türkçe,1,1.4.1.11,Yazdıklarını paylaşır.
Türkçe,1,1.4.1.12,Yazma çalışmaları yapar.
Türkçe,1,1.4.1.13,Yazma stratejilerini uygular.
Türkçe,2,2.1,DİNLEME/İZLEME
Türkçe,2,2.1.1,Dinleme/İzleme
Türkçe,2,2.1.1.1,Görselden/görsellerden hareketle dinleyeceği/izleyeceği metnin konusunu tahmin eder.
Türkçe,2,2.1.1.2,Dinlediklerinde/izlediklerinde geçen olayların gelişimi ve sonucu hakkında tahminde bulunur.
Türkçe,2,2.1.1.3,Dinlediği/izlediği metni anlatır.
Türkçe,2,2.1.1.3.1,Olayların oluş sırasına göre anlatılması sağlanır.
Türkçe,2,2.1.1.4,Dinlediklerinin/izlediklerinin konusunu belirler.
Türkçe,2,2.1.1.5,Dinlediklerine/izlediklerine yönelik sorulara cevap verir.
Türkçe,2,2.1.1.5.1,"Olay, şahıs, varlık kadrosu ve mekâna yönelik sorular (ne, kim, nerede) yöneltilir."
Türkçe,2,2.1.1.6,Dinlediklerine/izlediklerine farklı başlıklar önerir.
Türkçe,2,2.1.1.7,Sözlü yönergeleri uygular.
Türkçe,2,2.1.1.8,Dinleme stratejilerini uygular.
Türkçe,2,2.1.1.8.1,"Nezaket kurallarına (söz kesmeden dinleme, söz alma, dinleyiciyi izleme ve göz teması kurma) uygun dinlemenin önemi hatırlatılır."
Türkçe,2,2.1.1.8.2,"Öğrenciler, dikkatlerini dinlediklerine/izlediklerine yoğunlaştırmaları için teşvik edilir."
Türkçe,2,2.1.1.9,Konuşmacının sözlü olmayan mesajlarını kavrar.
Türkçe,2,2.2,KONUŞMA
Türkçe,2,2.2.1,Konuşma
Türkçe,2,2.2.1.1,Kelimeleri anlamlarına uygun kullanır.
Türkçe,2,2.2.1.2,Hazırlıksız konuşmalar yapar.
Türkçe,2,2.2.1.3,Çerçevesi belirli bir konu hakkında konuşur. 
Türkçe,2,2.2.1.3.1,"Öğrencilerin tanıdıkları kişiler, bildikleri yerler ve yaşadıkları olaylar hakkında konuşmalar yapmaları sağlanır."
Türkçe,2,2.2.1.4,Konuşma stratejilerini uygular.
Türkçe,2,2.2.1.4.1,Beden dili hakkında kısa bilgi verilir. Öğrenciler konuşmalarında beden dilini etkili kullanmaları için teşvik edilir.
Türkçe,2,2.2.1.4.2,"Konuşmalarda nezaket kurallarına uymanın (yerinde hitap ifadeleri kullanma, göz teması kurma, işitilebilir ses tonuyla, konu dışına çıkmadan, kelimeleri doğru telaffuz ederek konuşma) önemi hatırlatılır."
Türkçe,2,2.2.1.4.3,Akranlarla ve yetişkinlerle iletişimde dikkat edilecek hususlar belirtilir.
Türkçe,2,2.3,OKUMA
Türkçe,2,2.3.1,Akıcı Okuma
Türkçe,2,2.3.1.1,Okuma materyallerindeki temel bölümleri tanır.
Türkçe,2,2.3.1.1.1,Okuma materyallerindeki içindekiler ve sözlük bölümleri tanıtılarak işlevlerine değinilir.
Türkçe,2,2.3.1.2,Noktalama işaretlerine dikkat ederek okur.
Türkçe,2,2.3.1.3,"Vurgu, tonlama ve telaffuza dikkat ederek okur."
Türkçe,2,2.3.1.4,Şiir okur.
Türkçe,2,2.3.1.4.1,Öğrencilere kısa şiir ve İstiklâl Marşı   nın ilk iki kıtasını okuma ve ezberleme ezberleme çalışmaları zorlamamak kaydıyla yaptırılır.
Türkçe,2,2.3.1.5,Farklı yazı karakterleri ile yazılmış yazıları okur.
Türkçe,2,2.3.1.6,Okuma stratejilerini uygular.
Türkçe,2,2.3.1.6.1,Öğrencilerin sesli ve sessiz okuma yapmaları sağlanır.
Türkçe,2,2.3.2,Söz Varlığı
Türkçe,2,2.3.2.1,Görselden/görsellerden hareketle bilmediği kelimeleri ve anlamlarını tahmin eder.
Türkçe,2,2.3.2.1.1,"Resimli sözlük, sözlük, kelime haritası, kelime kartları ve benzer araçlardan yararlanılır."
Türkçe,2,2.3.2.1.2,Öğrencilerin yeni öğrendikleri kelime ve kelime gruplarından sözlük oluşturmaları sağlanır.
Türkçe,2,2.3.2.2,Kelimelerin zıt anlamlılarını tahmin eder.
Türkçe,2,2.3.2.3,Kelimelerin eş anlamlılarını tahmin eder.
Türkçe,2,2.3.3,Anlama
Türkçe,2,2.3.3.1,Görsellerle ilgili soruları cevaplar.
Türkçe,2,2.3.3.2,Görsellerden hareketle okuyacağı metnin konusunu tahmin eder.
Türkçe,2,2.3.3.3,Okuduklarını ana hatlarıyla anlatır.
Türkçe,2,2.3.3.3.1,Olayların oluş sırasına göre anlatılmasına dikkat edilir.
Türkçe,2,2.3.3.4,Okuduğu metnin konusunu belirler.
Türkçe,2,2.3.3.5,Okuduğu metinle ilgili soruları cevaplar.
Türkçe,2,2.3.3.6,Okuduğu metnin içeriğine uygun başlık/başlıklar belirler.
Türkçe,2,2.3.3.7,Metin türlerini tanır.
Türkçe,2,2.3.3.7.1,Örneklerle desteklenerek düzyazı ve şiir hakkında kısa bilgi verilir.
Türkçe,2,2.3.3.8,Okuduğu metindeki hikâye unsurlarını belirler.
Türkçe,2,2.3.3.9,Yazılı yönergeleri kavrar.
Türkçe,2,2.3.3.9.1,Görsellerle desteklenerek kısa ve basit yemek tarifleri ile çocuk oyunları yönergelerinden faydalanılır.
Türkçe,2,2.3.3.10,"Şekil, sembol ve işaretlerin anlamlarını kavrar."
Türkçe,2,2.3.3.10.1,Geri dönüşüm işaretleri ve özel gereksinimli bireylere yönelik semboller üzerinde durulur.
Türkçe,2,2.4,YAZMA
Türkçe,2,2.4.1,Yazma
Türkçe,2,2.4.1.1,Anlamlı ve kurallı cümleler yazar.
Türkçe,2,2.4.1.2,Şiir yazar.
Türkçe,2,2.4.1.3,Kısa metinler yazar.
Türkçe,2,2.4.1.3.1,Kartpostal ve/veya tebrik kartı yazdırılır.
Türkçe,2,2.4.1.3.2,Öğrenciler günlük tutmaları için teşvik edilir.
Türkçe,2,2.4.1.3.3,Olayları oluş sırasına göre yazmaları sağlanır.
Türkçe,2,2.4.1.4,Kısa yönergeler yazar.
Türkçe,2,2.4.1.4.1,Öğrencilerin basit yemek tarifi ile çocuk oyunu yönergeleri yazmaları sağlanır.
Türkçe,2,2.4.1.5,Yazılarını görsel unsurlarla destekler.
Türkçe,2,2.4.1.6,Formları yönergelerine uygun doldurur.
Türkçe,2,2.4.1.6.1,"Kimlik bilgilerini (adı, soyadı, doğum yeri, doğum tarihi vb.) içeren formları doldurmaları sağlanır."
Türkçe,2,2.4.1.7,Yazdıklarının içeriğine uygun başlık belirler.
Türkçe,2,2.4.1.8,Büyük harfleri ve noktalama işaretlerini uygun yerlerde kullanır.
Türkçe,2,2.4.1.8.1,"Büyük harflerin adres yazımında, bayram isimleri (Cumhuriyet Bayramı, Kurban Bayramı vb.) ve tarihlerin (29 Mayıs 1453 vb.) yazımında kullanıldığı belirtilir."
Türkçe,2,2.4.1.8.2,"Nokta, virgül, ünlem, soru işareti, kısa çizgi, konuşma çizgisi ve kesme işaretlerinin yaygın kullanılanişlevleri üzerinde durulur."
Türkçe,2,2.4.1.9,"Harfler, kelimeler ve cümleler arasında uygun boşluklar bırakır."
Türkçe,2,2.4.1.10,Yazdıklarını düzenler.
Türkçe,2,2.4.1.10.1,"Öğrencilerin yazdıklarını harf hatası, hece eksikliği ile yazım ve noktalama kuralları açısından gözden geçirmeleri ve düzenlemeleri sağlanır."
Türkçe,2,2.4.1.11,Yazdıklarını paylaşır.
Türkçe,2,2.4.1.11.1,"Öğrenciler yazdıklarını sınıf içinde okumaları, okul veya sınıf panosunda sergilemeleri için teşvik edilir.Öğrencilere yazdıklarını sınıf içinde okumaları konusunda ısrar edilmemelidir."
Türkçe,2,2.4.1.12,Yazma çalışmaları yapar.
Türkçe,2,2.4.1.12.1,"Dikte, bakarak ve serbest yazma çalışmaları yaptırılır."
Türkçe,2,2.4.1.12.2,"Yazma düzenine, sayfanın tamamının kullanılmasına ve temizliğine dikkat edilmesi gerektiği vurgulanır."
Türkçe,2,2.4.1.13,Soru ekini kuralına uygun yazar.
Türkçe,2,2.4.1.14,Yazma stratejilerini uygular.
Türkçe,3,3.1,DİNLEME/İZLEME
Türkçe,3,3.1.1,Dinleme/İzleme
Türkçe,3,3.1.1.1,Görselden/görsellerden hareketle dinleyeceği/izleyeceği metnin konusunu tahmin eder.
Türkçe,3,3.1.1.2,Dinlediklerinde/izlediklerinde geçen olayların gelişimi ve sonucu hakkında tahminde bulunur.
Türkçe,3,3.1.1.3,Dinlediği/izlediği metni ana hatlarıyla anlatır.
Türkçe,3,3.1.1.4,"Dinlediklerinde/izlediklerinde geçen, bilmediği kelimelerin anlamını tahmin eder."
Türkçe,3,3.1.1.5,Dinlediklerinin/izlediklerinin konusunu belirler.
Türkçe,3,3.1.1.6,Dinlediklerinin/izlediklerinin ana fikrini/ana duygusunu belirler.
Türkçe,3,3.1.1.7,Dinlediklerine/izlediklerine yönelik sorulara cevap verir.
Türkçe,3,3.1.1.7.1,"Olay, şahıs, varlık kadrosu ve mekâna yönelik sorular (ne, kim, nerede ve nasıl) yöneltilir."
Türkçe,3,3.1.1.8,Dinlediklerine/izlediklerine farklı başlıklar önerir.
Türkçe,3,3.1.1.9,Dinlediği/izlediği hikâye edici metinleri canlandırır.
Türkçe,3,3.1.1.10,Dinledikleriyle/izledikleriyle ilgili görüşlerini ifade eder.
Türkçe,3,3.1.1.11,Sözlü yönergeleri uygular.
Türkçe,3,3.1.1.12,Dinleme stratejilerini uygular.
Türkçe,3,3.1.1.12.1,Dinlerken nezaket kurallarına uymaları gerektiği hatırlatılır.
Türkçe,3,3.1.1.12.2,"Öğrenciler, dikkatlerini dinlediklerine/izlediklerine yoğunlaştırmaları için teşvik edilir."
Türkçe,3,3.1.1.13,Konuşmacının sözlü olmayan mesajlarını kavrar.
Türkçe,3,3.2,KONUŞMA
Türkçe,3,3.2.1,Konuşma
Türkçe,3,3.2.1.1,Kelimeleri anlamlarına uygun kullanır.
Türkçe,3,3.2.1.1.1,Konuşmalarında yeni öğrendiği kelimeleri kullanmaları için teşvik edilir.
Türkçe,3,3.2.1.2,Hazırlıksız konuşmalar yapar.
Türkçe,3,3.2.1.3,Çerçevesi belirli bir konu hakkında konuşur.
Türkçe,3,3.2.1.3.1,Öğrencilerin temalar çerçevesinde kendi belirledikleri ya da öğretmen tarafından belirlenen bir konu hakkında konuşma yapmaları sağlanır.
Türkçe,3,3.2.1.4,Konuşma stratejilerini uygular.
Türkçe,3,3.2.1.4.1,"Konuşmalarda nezaket kurallarına uymanın (yerinde hitap ifadeleri kullanma, göz teması kurma,işitilebilir ses tonuyla, konu dışına çıkmadan, kelimeleri doğru telaffuz ederek konuşma) önemi hatırlatılır."
Türkçe,3,3.2.1.4.2,Beden dilini etkin kullanmanın önemi vurgulanır.
Türkçe,3,3.2.1.5,Sınıf içindeki tartışma ve konuşmalara katılır.
Türkçe,3,3.2.1.5.1,Öğrenciler konuşma/tartışma sırasında kendi düşüncelerini uygun şekilde ifade etmeleri için teşvik edilir.
Türkçe,3,3.2.1.5.2,"Başkalarını dinleme, uygun hitap ifadeleri kullanma, başkalarının sözünü kesmeme, konuşmanınbitmesini bekleme, akış içinde söz alarak konuşmaya katılma, karşısındakini saygıyla ve sabırla dinlemeningerekliliği hatırlatılır."
Türkçe,3,3.2.1.6,"Konuşmalarında yabancı dillerden alınmış, dilimize henüz yerleşmemiş kelimelerin Türkçelerini kullanır."
Türkçe,3,3.3,OKUMA
Türkçe,3,3.3.1,Akıcı Okuma
Türkçe,3,3.3.1.1,Okuma materyallerindeki temel bölümleri tanır.
Türkçe,3,3.3.1.2,Noktalama işaretlerine dikkat ederek okur.
Türkçe,3,3.3.1.3,"Vurgu, tonlama ve telaffuza dikkat ederek okur."
Türkçe,3,3.3.1.4,Şiir okur.
Türkçe,3,3.3.1.4.1,Öğrencilere kısa şiir ve İstiklâl Marşı   nın ilk altı kıtasını okuma ve ezberleme çalışmaları zorlamamak kaydıyla yaptırılır.
Türkçe,3,3.3.1.5,Farklı yazı karakterleri ile yazılmış yazıları okur.
Türkçe,3,3.3.1.6,Okuma stratejilerini uygular.
Türkçe,3,3.3.1.6.1,"Öğrencilerin sesli, sessiz ve tahmin ederek okuma yapmaları sağlanır."
Türkçe,3,3.3.2,Söz Varlığı
Türkçe,3,3.3.2.1,Görselden/görsellerden hareketle bilmediği kelimeleri ve anlamlarını tahmin eder.
Türkçe,3,3.3.2.1.1,"Resimli sözlük, kavram haritası, sözlük, deyimler ve atasözleri sözlüğü ve benzer araçlardan yararlanılır."
Türkçe,3,3.3.2.1.2,Öğrencilerin yeni öğrendikleri kelime ve kelime gruplarından sözlük oluşturmaları sağlanır.
Türkçe,3,3.3.2.2,Kelimelerin zıt anlamlılarını bulur.
Türkçe,3,3.3.2.3,Kelimelerin eş anlamlılarını bulur.
Türkçe,3,3.3.2.4,Eş sesli kelimelerin anlamlarını ayırt eder.
Türkçe,3,3.3.3,Anlama
Türkçe,3,3.3.3.1,Görsellerle ilgili soruları cevaplar.
Türkçe,3,3.3.3.2,Görsellerden hareketle okuyacağı metnin konusunu tahmin eder.
Türkçe,3,3.3.3.3,Okuduklarını ana hatlarıyla anlatır.
Türkçe,3,3.3.3.3.1,Olayların oluş sırasına göre anlatılması sağlanır.
Türkçe,3,3.3.3.4,Okuduğu metnin konusunu belirler.
Türkçe,3,3.3.3.5,Metnin ana fikrini/ana duygusunu belirler.
Türkçe,3,3.3.3.6,Okuduğu metinle ilgili soruları cevaplar.
Türkçe,3,3.3.3.7,Metinle ilgili sorular sorar.
Türkçe,3,3.3.3.8,Okuduğu metindeki hikâye unsurlarını belirler.
Türkçe,3,3.3.3.8.1,"Metnin olay örgüsü, mekân, şahıs ve varlık kadrosu unsurlarına değinilir."
Türkçe,3,3.3.3.9,Okuduğu metnin içeriğine uygun başlık/başlıklar belirler.
Türkçe,3,3.3.3.10,Metin türlerini ayırt eder.
Türkçe,3,3.3.3.10.1,"Hikâye edici, bilgilendirici metin ve şiir hakkında örneklerden yararlanılarak genel kısa bilgiler verilir."
Türkçe,3,3.3.3.11,Metinleri oluşturan ögeleri tanır. 
Türkçe,3,3.3.3.11.1,Başlık ve paragraf hakkında kısa bilgi verilir.
Türkçe,3,3.3.3.11.2,Kıta ve dize hakkında kısa bilgi verilir.
Türkçe,3,3.3.3.12,Kısa ve basit dijital metinlerdeki mesajı kavrar.
Türkçe,3,3.3.3.12.1,"Elektronik posta ve sosyal medya içeriklerine (davet, teşekkür mesajları vb.) yer verilir."
Türkçe,3,3.3.3.13,Metindeki gerçek ve hayalî ögeleri ayırt eder.
Türkçe,3,3.3.3.14,Okudukları ile ilgili çıkarımlar yapar.
Türkçe,3,3.3.3.14.1,Metindeki problem durumlarının tespit edilmesi ve bunlara farklı çözüm yolları bulunması sağlanır.
Türkçe,3,3.3.3.14.2,Metindeki durumlarla kendi yaşantıları arasında ilişki kurmaları teşvik edilir.
Türkçe,3,3.3.3.15,Görsellerle okuduğu metnin içeriğini ilişkilendirir.
Türkçe,3,3.3.3.15.1,Görsel ve konu arasındaki ilişki vurgulanır.
Türkçe,3,3.3.3.16,"Şekil, sembol ve işaretlerin anlamlarını kavrar."
Türkçe,3,3.3.3.16.1,"Bilişim teknolojileri (bilgisayar, tablet) ve iletişim araçlarında kullanılan şekil ve semboller üzerinde durulur."
Türkçe,3,3.3.3.17,Yazılı yönergeleri kavrar.
Türkçe,3,3.3.3.17.1,"Harita, ilan, afiş, ürün etiketi, kullanım kılavuzu gibi materyallerden faydalanılır."
Türkçe,3,3.3.3.18,Tablo ve grafiklerde yer alan bilgilere ilişkin soruları cevaplar.
Türkçe,3,3.4,YAZMA
Türkçe,3,3.4.1,Yazma
Türkçe,3,3.4.1.1,Şiir yazar.
Türkçe,3,3.4.1.2,Kısa metinler yazar.
Türkçe,3,3.4.1.2.1,Mektup ve/veya anı yazdırılır.
Türkçe,3,3.4.1.2.2,Öğrenciler günlük tutmaları için teşvik edilir.
Türkçe,3,3.4.1.2.3,Olayları oluş sırasına göre yazmaları sağlanır.
Türkçe,3,3.4.1.3,Hikâye edici metin yazar.
Türkçe,3,3.4.1.3.1,"Öğrenciler, yazılarında varlıkların niteliklerini bildiren kelimeleri kullanmaları için teşvik edilir."
Türkçe,3,3.4.1.3.2,Olayların oluş sırasına göre yazılması gerektiği vurgulanır.
Türkçe,3,3.4.1.3.3,Öğrenciler yazılarına duygu ve düşüncelerini aktarmaları için teşvik edilir.
Türkçe,3,3.4.1.4,Yazdıklarının içeriğine uygun başlık belirler.
Türkçe,3,3.4.1.5,Kısa yönergeler yazar.
Türkçe,3,3.4.1.5.1,Öğrencilerin basit bir etkinlik ve çocuk oyunu yönergesi yazmaları sağlanır.
Türkçe,3,3.4.1.6,Formları yönergelerine uygun doldurur.
Türkçe,3,3.4.1.7,Büyük harfleri ve noktalama işaretlerini uygun yerlerde kullanır.
Türkçe,3,3.4.1.7.1,"Nokta, virgül, iki nokta, ünlem, tırnak işareti, soru işareti, kısa çizgi, konuşma çizgisi ve kesme işaretinin yaygın kullanılan işlevleri üzerinde durulur."
Türkçe,3,3.4.1.7.2,"Kurum adlarının baş harflerinde, dizelerin başında, yer adlarının yazımında büyük harf kullanımı üzerinde durulur."
Türkçe,3,3.4.1.8,Yazılarında eş sesli kelimeleri anlamlarına uygun kullanır.
Türkçe,3,3.4.1.9,Yazdıklarını zenginleştirmek için çizim ve görseller kullanır.
Türkçe,3,3.4.1.10,Görsellerdeki olayları ilişkilendirerek yazı yazar.
Türkçe,3,3.4.1.11,Yazdıklarını düzenler.
Türkçe,3,3.4.1.11.1,Yapılacak düzenleme çalışması sınıf düzeyine uygun yazım ve noktalama kuralları ile sınırlı tutulur.
Türkçe,3,3.4.1.12,Yazdıklarını paylaşır.
Türkçe,3,3.4.1.12.1,"Öğrenciler yazdıklarını sınıf içinde okumaları, okul veya sınıf panosunda sergilemeleri için teşvik edilir.Öğrencilere yazdıklarını sınıf içinde okumaları konusunda ısrar edilmemelidir."
Türkçe,3,3.4.1.13,Harfleri yapısal özelliklerine uygun yazar.
Türkçe,3,3.4.1.13.1,Öğrencilerin yazılarında harfleri asli ve ilave unsurlarına dikkat ederek yazmaları sağlanır.
Türkçe,3,3.4.1.14,Harflerin yapısal özelliklerine uygun kelime ve cümleler yazar.
Türkçe,3,3.4.1.14.1,"Öğrencilerin yazılarında kelimeler arasında uygun boşlukları bırakarak özenli, okunaklı ve düzgün yazmaları yazmaları sağlanır."
Türkçe,3,3.4.1.15,Harflerin yapısal özelliklerine uygun kısa metinler yazar.
Türkçe,3,3.4.1.15.1,Serbest veya bakarak kısa metinler yazmaları sağlanır.
Türkçe,3,3.4.1.16,"Yazdıklarında yabancı dillerden alınmış, dilimize henüz yerleşmemiş kelimelerin Türkçelerini kullanır."
Türkçe,3,3.4.1.17,Yazma stratejilerini uygular.
Türkçe,4,4.1,DİNLEME/İZLEME
Türkçe,4,4.1.1,Dinleme/İzleme
Türkçe,4,4.1.1.1,Görselden/görsellerden hareketle dinleyeceği/izleyeceği metnin konusunu tahmin eder.
Türkçe,4,4.1.1.2,Dinlediklerinde/izlediklerinde geçen olayların gelişimi ve sonucu hakkında tahminde bulunur.
Türkçe,4,4.1.1.3,Dinlediği/izlediği metni ana hatlarıyla anlatır.
Türkçe,4,4.1.1.4,"Dinlediklerinde/izlediklerinde geçen, bilmediği kelimelerin anlamını tahmin eder."
Türkçe,4,4.1.1.5,Dinlediklerinin/izlediklerinin konusunu belirler.
Türkçe,4,4.1.1.6,Dinlediklerinin/izlediklerinin ana fikrini/ana duygusunu belirler.
Türkçe,4,4.1.1.7,Dinlediklerine/izlediklerine yönelik sorulara cevap verir.
Türkçe,4,4.1.1.7.1,"Olay, şahıs, varlık kadrosu ve mekâna yönelik sorular (ne, kim, nerede, nasıl, neden ve ne zaman) yöneltilir."
Türkçe,4,4.1.1.8,Dinlediklerine/izlediklerine farklı başlıklar önerir.
Türkçe,4,4.1.1.9,Dinledikleriyle/izledikleriyle ilgili görüşlerini ifade eder.
Türkçe,4,4.1.1.10,Dinlediği/izlediği hikâye edici metinleri canlandırır.
Türkçe,4,4.1.1.11,Dinlediklerinin/izlediklerinin içeriğini değerlendirir.
Türkçe,4,4.1.1.11.1,"Öğrencilere medya metinleri (reklam, kamu spotu vb.) dinletilerek/izletilerek bunların hedef kitlesi ve amacı hakkında çıkarımda bulunmaları sağlanır."
Türkçe,4,4.1.1.11.2,Öğrencilerin dinledikleri/izlediklerinin içeriğini tutarlılık açısından sorgulamaları sağlanır.
Türkçe,4,4.1.1.12,Dinleme stratejilerini uygular.
Türkçe,4,4.1.1.12.1,Öğrencilerin dikkatlerini yoğunlaştırmaları sağlanır.
Türkçe,4,4.1.1.12.2,"Dinlerken/izlerken hoşuna giden cümleleri, önemli bilgileri vb. not almaları konusunda teşvik edilir."
Türkçe,4,4.1.1.13,Konuşmacının sözlü olmayan mesajlarını kavrar.
Türkçe,4,4.2,KONUŞMA
Türkçe,4,4.2.1,Konuşma
Türkçe,4,4.2.1.1,Kelimeleri anlamlarına uygun kullanır.
Türkçe,4,4.2.1.2,Hazırlıksız konuşmalar yapar.
Türkçe,4,4.2.1.3,Hazırlıklı konuşmalar yapar.
Türkçe,4,4.2.1.3.1,"Öğrencilerin izledikleri bir filmi tanıtmaları, görüş ve düşüncelerini belirterek anlatmaları sağlanır."
Türkçe,4,4.2.1.3.2,Öğrencilerin verilen bir konuyu görsellerle destekleyerek kısa sunum hazırlamaları ve prova yapmaları sağlanır.
Türkçe,4,4.2.1.4,Konuşma stratejilerini uygular.
Türkçe,4,4.2.1.4.1,Nezaket kurallarına uygun konuşulması gerektiği hatırlatılır.
Türkçe,4,4.2.1.4.2,Beden dilini etkin kullanmanın önemi vurgulanır.
Türkçe,4,4.2.1.5,Sınıf içindeki tartışma ve konuşmalara katılır.
Türkçe,4,4.2.1.5.1,Öğrenciler konuşma/tartışma sırasında kendi düşüncelerini uygun şekilde ifade etmeleri için teşvik edilir.
Türkçe,4,4.2.1.5.2,Farklı bakış açılarına anlayışla yaklaşmanın önemi vurgulanır.
Türkçe,4,4.2.1.5.3,"Başkalarını dinleme, uygun hitap ifadeleri kullanma, başkalarının sözünü kesmeme, konuşmanın bitmesini bekleme, akış içinde söz alarak konuşmaya katılma, karşısındakini saygıyla ve sabırla dinlemenin gerekliliği hatırlatılır."
Türkçe,4,4.2.1.5.4,Bir konuşmadaki/tartışmadaki bakış açılarını ayırt etmeleri sağlanır.
Türkçe,4,4.2.1.6,"Konuşmalarında yabancı dillerden alınmış, dilimize henüz yerleşmemiş kelimelerin Türkçelerini kullanır."
Türkçe,4,4.3,OKUMA
Türkçe,4,4.3.1,Akıcı Okuma
Türkçe,4,4.3.1.1,Noktalama işaretlerine dikkat ederek sesli ve sessiz okur.
Türkçe,4,4.3.1.2,"Vurgu, tonlama ve telaffuza dikkat ederek okur."
Türkçe,4,4.3.1.3,Şiir okur.
Türkçe,4,4.3.1.3.1,Öğrencilere kısa şiir ve İstiklâl Marşı   nın ilk on kıtasını okuma ve ezberleme çalışmaları zorlamamak kaydıyla yaptırılır.
Türkçe,4,4.3.1.4,Metinleri türün özelliklerine uygun biçimde okur.
Türkçe,4,4.3.1.4.1,Hikâye edici ve bilgilendirici metinler ile şiir okutulur.
Türkçe,4,4.3.1.5,Farklı yazı karakterleri ile yazılmış yazıları okur.
Türkçe,4,4.3.1.6,Okuma stratejilerini uygular.
Türkçe,4,4.3.1.6.1,"Öğrencilerin sesli, sessiz, tahmin ederek ve soru sorarak okuma yapmaları sağlanır."
Türkçe,4,4.3.2,Söz Varlığı
Türkçe,4,4.3.2.1,Kelimelerin zıt anlamlılarını bulur.
Türkçe,4,4.3.2.2,Kelimelerin eş anlamlılarını bulur.
Türkçe,4,4.3.2.3,Eş sesli kelimelerin anlamlarını ayırt eder.
